feature,importance,rank,pct_of_total_importance,model
delivery_delay_days,0.39351098800762907,1,39.351098800762905,Negative Review Risk (Model B)
is_late,0.32488364838719314,2,32.48836483871931,Negative Review Risk (Model B)
n_items,0.12172148636910547,3,12.172148636910547,Negative Review Risk (Model B)
n_distinct_sellers,0.04651077329034911,4,4.651077329034911,Negative Review Risk (Model B)
purchase_month,0.03538247448034559,5,3.5382474480345585,Negative Review Risk (Model B)
category_grp,0.02420892192413711,6,2.420892192413711,Negative Review Risk (Model B)
order_total_value,0.02379280591519328,7,2.379280591519328,Negative Review Risk (Model B)
freight_ratio,0.013683128907259427,8,1.3683128907259428,Negative Review Risk (Model B)
customer_region,0.007976053290631894,9,0.7976053290631894,Negative Review Risk (Model B)
max_installments,0.005921727428819191,10,0.5921727428819191,Negative Review Risk (Model B)
primary_payment_type,0.0024079919993367557,11,0.24079919993367557,Negative Review Risk (Model B)
